# {"t_start": 1553555491.7737741, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,819,38.212863
-21.0,952,84.366194
-21.0,824,132.680535
-21.0,819,172.72712
-21.0,969,226.349962
-20.0,964,271.879357
-21.0,853,320.504439
-20.0,839,362.061746
-20.0,858,406.420111
-20.0,832,450.189495
-19.0,965,495.037937
-21.0,879,541.377291
-21.0,807,578.876407
-21.0,819,621.301532
-18.0,1075,671.089343
-20.0,978,719.943948
-21.0,881,758.178228
-21.0,824,800.457949
-20.0,1108,855.589004
-21.0,971,899.24982
-18.0,1077,950.646959
-21.0,789,992.523784
-20.0,899,1037.378596
-21.0,907,1081.530725
-20.0,896,1126.665008
-21.0,906,1170.111959
-21.0,846,1207.711842
-21.0,780,1244.687824
-21.0,790,1288.925459
-21.0,823,1328.071026
-20.0,863,1370.685629
-17.0,1346,1432.800624
-20.0,836,1475.264677
-21.0,871,1517.980526
-21.0,818,1555.171501
-21.0,788,1592.385834
-21.0,1007,1642.864583
-18.0,1238,1703.895699
-20.0,1021,1754.737549
-20.0,1097,1804.968833
-19.0,1026,1854.159225
-21.0,1031,1903.462511
-21.0,821,1945.842507
-21.0,825,1983.423253
-21.0,791,2020.424448
-21.0,818,2058.843743
-19.0,1101,2113.996562
-20.0,837,2156.456006
-20.0,930,2199.796627
-17.0,1221,2255.975986
-20.0,830,2298.371228
-20.0,870,2341.033177
-18.0,1203,2396.926648
-21.0,905,2439.996213
-18.0,1180,2495.368416
-20.0,860,2538.158651
-17.0,1099,2593.119496
-19.0,1115,2643.205844
-18.0,1094,2698.052964
-19.0,1105,2748.038057
-21.0,794,2789.832979
-18.0,1172,2845.159463
-19.0,996,2888.968127
-17.0,1229,2950.090805
-21.0,982,2998.825992
-18.0,1203,3054.785185
-20.0,937,3098.177145
-19.0,1285,3159.543591
-19.0,1326,3226.266054
-14.0,1666,3305.89242
-19.0,1114,3355.851164
-18.0,1170,3415.879557
-20.0,1136,3466.131109
-21.0,883,3508.888829
-18.0,1521,3582.496438
-16.0,1364,3649.602461
-19.0,1060,3698.989126
-19.0,1198,3754.583973
-18.0,1405,3822.14723
-19.0,1220,3882.913111
-18.0,1289,3944.327009
-18.0,1241,4005.268319
